FIPS,STATE,COUNTY,ARC,Geographic_Area_Name,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Employed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Civilian_labor_force__Unemployed,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__In_labor_force__Armed_Forces,Estimate__EMPLOYMENT_STATUS__Population_16_years_and_over__Not_in_labor_force,Percentage_of_Unemployment,Percentage_of_Not_in_Labor_Force,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Less_than__10_000,Percentage_of_Less_than__10_000,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___10_000_to__14_999,Percentage_of__10_000_to__14_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___15_000_to__24_999,Percentage_of__15_000_to__24_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___25_000_to__34_999,Percentage_of__25_000_to__34_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___35_000_to__49_999,Percentage_of__35_000_to__49_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___50_000_to__74_999,Percentage_of__50_000_to__74_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___75_000_to__99_999,Percentage_of__75_000_to__99_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___100_000_to__149_999,Percentage_of__100_000_to__149_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___150_000_to__199_999,Percentage_of__150_000_to__199_999,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households___200_000_or_more,Percentage_of__200_000_or_more,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__Median_household_income__dollars_,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Social_Security,Percentage_of_with_Social_Security,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Supplemental_Security_Income,Percentage_of_With_Supplemental_Security_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_cash_public_assistance_income,Percentage_of_With_Cash_Public_Assistance_Income,Estimate__INCOME_AND_BENEFITS__IN_2022_INFLATION_ADJUSTED_DOLLARS___Total_households__With_Food_Stamp_SNAP_benefits_in_the_past_12_months,Percentage_of_With_Food_Stamp_SNAP,Percent__PERCENTAGE_OF_FAMILIES_AND_PEOPLE_WHOSE_INCOME_IN_THE_PAST_12_MONTHS_IS_BELOW_THE_POVERTY_LEVEL__All_people__People_in_families
42099,Pennsylvania,Perry,ARC,"Perry County, Pennsylvania",37380,23175,23130,22346,784,45,14205,3.39%,38.00%,18066,546,3.02%,625,3.46%,1171,6.48%,1254,6.94%,2204,12.20%,3098,17.15%,2782,15.40%,3738,20.69%,1551,8.59%,1097,6.07%,76103,7238,40.06%,1001,5.54%,359,1.99%,1764,9.76%,6.1
42103,Pennsylvania,Pike,ARC,"Pike County, Pennsylvania",50434,28876,28831,26380,2451,45,21558,8.50%,42.74%,23780,841,3.54%,711,2.99%,1903,8.00%,1537,6.46%,2399,10.09%,4311,18.13%,3601,15.14%,4287,18.03%,2105,8.85%,2085,8.77%,76416,10165,42.75%,1208,5.08%,767,3.23%,2896,12.18%,7.6
42105,Pennsylvania,Potter,ARC,"Potter County, Pennsylvania",13475,7174,7174,6827,347,0,6301,4.84%,46.76%,6595,237,3.59%,358,5.43%,604,9.16%,744,11.28%,1006,15.25%,1338,20.29%,923,14.00%,889,13.48%,307,4.66%,189,2.87%,56491,3084,46.76%,514,7.79%,217,3.29%,989,15.00%,9.1
42107,Pennsylvania,Schuylkill,ARC,"Schuylkill County, Pennsylvania",118431,68315,68188,64570,3618,127,50116,5.31%,42.32%,56987,2468,4.33%,2617,4.59%,5559,9.75%,4742,8.32%,7388,12.96%,10804,18.96%,7825,13.73%,9444,16.57%,3746,6.57%,2394,4.20%,63574,22810,40.03%,3388,5.95%,2375,4.17%,9234,16.20%,9
42109,Pennsylvania,Snyder,ARC,"Snyder County, Pennsylvania",32650,19895,19864,19430,434,31,12755,2.18%,39.07%,14430,349,2.42%,534,3.70%,1247,8.64%,1356,9.40%,1920,13.31%,2847,19.73%,2139,14.82%,2229,15.45%,994,6.89%,815,5.65%,65914,5677,39.34%,836,5.79%,334,2.31%,1325,9.18%,5.8
42111,Pennsylvania,Somerset,ARC,"Somerset County, Pennsylvania",61989,34555,34541,32749,1792,14,27434,5.19%,44.26%,28956,1064,3.67%,1333,4.60%,2804,9.68%,2864,9.89%,4286,14.80%,5418,18.71%,4105,14.18%,4392,15.17%,1712,5.91%,978,3.38%,57357,12734,43.98%,1434,4.95%,663,2.29%,4153,14.34%,7.9
42113,Pennsylvania,Sullivan,ARC,"Sullivan County, Pennsylvania",5314,2697,2697,2548,149,0,2617,5.52%,49.25%,2462,100,4.06%,114,4.63%,263,10.68%,204,8.29%,304,12.35%,514,20.88%,279,11.33%,383,15.56%,172,6.99%,129,5.24%,62910,1207,49.03%,87,3.53%,38,1.54%,188,7.64%,7.4
42115,Pennsylvania,Susquehanna,ARC,"Susquehanna County, Pennsylvania",32209,17864,17848,16812,1036,16,14345,5.80%,44.54%,15641,558,3.57%,563,3.60%,1509,9.65%,1517,9.70%,1824,11.66%,2882,18.43%,2076,13.27%,2507,16.03%,1186,7.58%,1019,6.51%,63968,6984,44.65%,799,5.11%,406,2.60%,1846,11.80%,8.5
42117,Pennsylvania,Tioga,ARC,"Tioga County, Pennsylvania",34162,19412,19405,18529,876,7,14750,4.51%,43.18%,16583,736,4.44%,706,4.26%,1767,10.66%,1575,9.50%,2134,12.87%,3186,19.21%,2270,13.69%,2723,16.42%,820,4.94%,666,4.02%,59707,7106,42.85%,928,5.60%,334,2.01%,2194,13.23%,9.2
42119,Pennsylvania,Union,ARC,"Union County, Pennsylvania",36344,17480,17480,16876,604,0,18864,3.46%,51.90%,14172,473,3.34%,533,3.76%,1262,8.90%,1372,9.68%,1886,13.31%,2306,16.27%,1833,12.93%,2466,17.40%,1068,7.54%,973,6.87%,64914,5670,40.01%,708,5.00%,518,3.66%,1514,10.68%,7.7
42121,Pennsylvania,Venango,ARC,"Venango County, Pennsylvania",42175,23307,23287,21733,1554,20,18868,6.67%,44.74%,21323,886,4.16%,1138,5.34%,2073,9.72%,2128,9.98%,2750,12.90%,4204,19.72%,2939,13.78%,3425,16.06%,1286,6.03%,494,2.32%,59278,9205,43.17%,1816,8.52%,743,3.48%,3979,18.66%,9.7
42123,Pennsylvania,Warren,ARC,"Warren County, Pennsylvania",31934,18153,18149,17363,786,4,13781,4.33%,43.15%,16209,701,4.32%,643,3.97%,1310,8.08%,2074,12.80%,2138,13.19%,3379,20.85%,2208,13.62%,2457,15.16%,696,4.29%,603,3.72%,57925,6977,43.04%,790,4.87%,518,3.20%,1994,12.30%,8.3
42125,Pennsylvania,Washington,ARC,"Washington County, Pennsylvania",173553,107702,107548,102148,5400,154,65851,5.02%,37.94%,87200,3695,4.24%,2969,3.40%,6470,7.42%,6209,7.12%,10007,11.48%,14567,16.71%,11564,13.26%,14810,16.98%,7889,9.05%,9020,10.34%,74403,34242,39.27%,4105,4.71%,2385,2.74%,11240,12.89%,6.3
42127,Pennsylvania,Wayne,ARC,"Wayne County, Pennsylvania",43747,22553,22550,21217,1333,3,21194,5.91%,48.45%,19747,758,3.84%,590,2.99%,2052,10.39%,1931,9.78%,2764,14.00%,3808,19.28%,2800,14.18%,3034,15.36%,1105,5.60%,905,4.58%,59240,9614,48.69%,999,5.06%,722,3.66%,2437,12.34%,8.2
42129,Pennsylvania,Westmoreland,ARC,"Westmoreland County, Pennsylvania",297917,180615,180574,171612,8962,41,117302,4.96%,39.37%,153237,6641,4.33%,6130,4.00%,12894,8.41%,12496,8.15%,18135,11.83%,25353,16.54%,21271,13.88%,26569,17.34%,11967,7.81%,11781,7.69%,69454,63024,41.13%,7613,4.97%,3765,2.46%,19214,12.54%,6.4
42131,Pennsylvania,Wyoming,ARC,"Wyoming County, Pennsylvania",21842,12622,12610,12048,562,12,9220,4.46%,42.21%,10788,402,3.73%,285,2.64%,1036,9.60%,841,7.80%,1393,12.91%,1990,18.45%,1672,15.50%,1898,17.59%,762,7.06%,509,4.72%,67968,4649,43.09%,450,4.17%,386,3.58%,1631,15.12%,8.5
45007,South Carolina,Anderson,ARC,"Anderson County, South Carolina",163596,98585,98301,92914,5387,284,65011,5.48%,39.74%,80301,4382,5.46%,3245,4.04%,7791,9.70%,7351,9.15%,10465,13.03%,13932,17.35%,10962,13.65%,12579,15.66%,4482,5.58%,5112,6.37%,62347,28727,35.77%,4145,5.16%,1144,1.42%,8250,10.27%,11.9
45021,South Carolina,Cherokee,ARC,"Cherokee County, South Carolina",44860,25818,25737,24212,1525,81,19042,5.93%,42.45%,21288,1897,8.91%,1213,5.70%,2484,11.67%,2454,11.53%,3072,14.43%,3649,17.14%,2653,12.46%,2438,11.45%,789,3.71%,639,3.00%,47011,8482,39.84%,1006,4.73%,244,1.15%,3064,14.39%,13.8
45045,South Carolina,Greenville,ARC,"Greenville County, South Carolina",421910,273951,273560,262211,11349,391,147959,4.15%,35.07%,210349,9726,4.62%,7141,3.39%,13549,6.44%,17736,8.43%,24479,11.64%,37702,17.92%,28119,13.37%,34392,16.35%,17989,8.55%,19516,9.28%,71328,65252,31.02%,8445,4.01%,2502,1.19%,16097,7.65%,8.5
45073,South Carolina,Oconee,ARC,"Oconee County, South Carolina",65486,34101,34066,32079,1987,35,31385,5.83%,47.93%,33240,1765,5.31%,1954,5.88%,3358,10.10%,3302,9.93%,4627,13.92%,5590,16.82%,3723,11.20%,5023,15.11%,1804,5.43%,2094,6.30%,56710,14307,43.04%,1688,5.08%,332,1.00%,4178,12.57%,11.5
45077,South Carolina,Pickens,ARC,"Pickens County, South Carolina",109655,62773,62701,60097,2604,72,46882,4.15%,42.75%,50341,3330,6.61%,2650,5.26%,5195,10.32%,4514,8.97%,6903,13.71%,8439,16.76%,6565,13.04%,7730,15.36%,2376,4.72%,2639,5.24%,57628,16804,33.38%,2285,4.54%,590,1.17%,4240,8.42%,8.4
45083,South Carolina,Spartanburg,ARC,"Spartanburg County, South Carolina",262949,162615,162379,154712,7667,236,100334,4.72%,38.16%,125394,7718,6.15%,4729,3.77%,11124,8.87%,10824,8.63%,16118,12.85%,22936,18.29%,18298,14.59%,18905,15.08%,7596,6.06%,7146,5.70%,61955,42921,34.23%,6232,4.97%,1786,1.42%,12250,9.77%,11.7
45087,South Carolina,Union,ARC,"Union County, South Carolina",22006,12161,12147,10913,1234,14,9845,10.16%,44.74%,11580,875,7.56%,920,7.94%,1633,14.10%,1660,14.34%,1313,11.34%,2144,18.51%,1256,10.85%,1050,9.07%,497,4.29%,232,2.00%,42305,5071,43.79%,909,7.85%,118,1.02%,1967,16.99%,18.3
47001,Tennessee,Anderson,ARC,"Anderson County, Tennessee",62800,34939,34837,32947,1890,102,27861,5.43%,44.36%,31275,1892,6.05%,1929,6.17%,2231,7.13%,2518,8.05%,4576,14.63%,5545,17.73%,4307,13.77%,4437,14.19%,2262,7.23%,1578,5.05%,60633,12151,38.85%,2086,6.67%,1050,3.36%,3953,12.64%,11.3
47007,Tennessee,Bledsoe,ARC,"Bledsoe County, Tennessee",12644,6035,6019,5617,402,16,6609,6.68%,52.27%,4851,348,7.17%,434,8.95%,582,12.00%,475,9.79%,533,10.99%,790,16.29%,678,13.98%,710,14.64%,161,3.32%,140,2.89%,51783,1934,39.87%,708,14.59%,153,3.15%,1039,21.42%,23.1
47009,Tennessee,Blount,ARC,"Blount County, Tennessee",112546,68049,67849,65081,2768,200,44497,4.08%,39.54%,53456,1980,3.70%,1811,3.39%,3339,6.25%,4240,7.93%,6428,12.02%,10412,19.48%,7870,14.72%,10508,19.66%,3693,6.91%,3175,5.94%,70935,20206,37.80%,2446,4.58%,748,1.40%,3658,6.84%,6
47011,Tennessee,Bradley,ARC,"Bradley County, Tennessee",88117,54021,53951,51057,2894,70,34096,5.36%,38.69%,41340,2063,4.99%,2498,6.04%,3077,7.44%,4176,10.10%,5067,12.26%,7755,18.76%,5668,13.71%,6777,16.39%,2328,5.63%,1931,4.67%,60692,15331,37.09%,2189,5.30%,680,1.64%,5536,13.39%,9.8
47013,Tennessee,Campbell,ARC,"Campbell County, Tennessee",32109,16433,16433,15272,1161,0,15676,7.07%,48.82%,16255,951,5.85%,1282,7.89%,2026,12.46%,1868,11.49%,2144,13.19%,2885,17.75%,2204,13.56%,1983,12.20%,543,3.34%,369,2.27%,48258,7438,45.76%,1516,9.33%,2062,12.69%,3554,21.86%,15.5
47015,Tennessee,Cannon,ARC,"Cannon County, Tennessee",11799,6662,6662,6445,217,0,5137,3.26%,43.54%,5769,482,8.36%,314,5.44%,582,10.09%,563,9.76%,593,10.28%,1088,18.86%,863,14.96%,800,13.87%,298,5.17%,186,3.22%,57651,2006,34.77%,319,5.53%,112,1.94%,722,12.52%,11.6
47019,Tennessee,Carter,ARC,"Carter County, Tennessee",47403,24983,24949,23155,1794,34,22420,7.19%,47.30%,23940,1416,5.91%,1632,6.82%,3229,13.49%,2754,11.50%,3337,13.94%,4665,19.49%,2487,10.39%,3066,12.81%,781,3.26%,573,2.39%,47994,10750,44.90%,1616,6.75%,1005,4.20%,3681,15.38%,15.3
47025,Tennessee,Claiborne,ARC,"Claiborne County, Tennessee",26655,13777,13764,12931,833,13,12878,6.05%,48.31%,13479,1051,7.80%,1050,7.79%,1849,13.72%,1501,11.14%,2073,15.38%,2360,17.51%,1457,10.81%,1268,9.41%,466,3.46%,404,3.00%,42406,5697,42.27%,1324,9.82%,899,6.67%,2185,16.21%,12.1
47027,Tennessee,Clay,ARC,"Clay County, Tennessee",6208,2804,2793,2638,155,11,3404,5.55%,54.83%,3035,311,10.25%,280,9.23%,449,14.79%,329,10.84%,407,13.41%,432,14.23%,331,10.91%,410,13.51%,38,1.25%,48,1.58%,39572,1580,52.06%,253,8.34%,114,3.76%,597,19.67%,16.5
47029,Tennessee,Cocke,ARC,"Cocke County, Tennessee",29708,15700,15667,14689,978,33,14008,6.24%,47.15%,14547,874,6.01%,1113,7.65%,2131,14.65%,1498,10.30%,2402,16.51%,2743,18.86%,1769,12.16%,1208,8.30%,427,2.94%,382,2.63%,45110,6511,44.76%,1173,8.06%,402,2.76%,2835,19.49%,17
47031,Tennessee,Coffee,ARC,"Coffee County, Tennessee",45845,27155,27107,25872,1235,48,18690,4.56%,40.77%,22689,1127,4.97%,1073,4.73%,1992,8.78%,2540,11.19%,3390,14.94%,4548,20.04%,2792,12.31%,3531,15.56%,985,4.34%,711,3.13%,57424,8590,37.86%,1282,5.65%,641,2.83%,2473,10.90%,14.4
47035,Tennessee,Cumberland,ARC,"Cumberland County, Tennessee",52487,24052,24041,22676,1365,11,28435,5.68%,54.18%,26931,1570,5.83%,1389,5.16%,2332,8.66%,2220,8.24%,4243,15.76%,5926,22.00%,4229,15.70%,3295,12.23%,913,3.39%,814,3.02%,56002,14228,52.83%,1301,4.83%,472,1.75%,3166,11.76%,8.2
47041,Tennessee,DeKalb,ARC,"DeKalb County, Tennessee",16416,8732,8732,8292,440,0,7684,5.04%,46.81%,8360,642,7.68%,528,6.32%,1050,12.56%,938,11.22%,1162,13.90%,1369,16.38%,1023,12.24%,983,11.76%,508,6.08%,157,1.88%,46907,3066,36.67%,1034,12.37%,430,5.14%,1398,16.72%,15.9
47049,Tennessee,Fentress,ARC,"Fentress County, Tennessee",15403,7625,7625,7223,402,0,7778,5.27%,50.50%,7607,328,4.31%,760,9.99%,865,11.37%,1072,14.09%,1106,14.54%,1494,19.64%,1032,13.57%,694,9.12%,148,1.95%,108,1.42%,47884,3629,47.71%,1026,13.49%,199,2.62%,1770,23.27%,16.9
47051,Tennessee,Franklin,ARC,"Franklin County, Tennessee",35408,20033,20028,19502,526,5,15375,2.63%,43.42%,16789,1108,6.60%,813,4.84%,1413,8.42%,1526,9.09%,2538,15.12%,3220,19.18%,2018,12.02%,2515,14.98%,778,4.63%,860,5.12%,57933,6743,40.16%,850,5.06%,207,1.23%,1677,9.99%,11.7
47057,Tennessee,Grainger,ARC,"Grainger County, Tennessee",19744,10342,10342,9746,596,0,9402,5.76%,47.62%,9384,663,7.07%,771,8.22%,1192,12.70%,1214,12.94%,1117,11.90%,1682,17.92%,985,10.50%,1282,13.66%,295,3.14%,183,1.95%,47098,4324,46.08%,571,6.08%,168,1.79%,1387,14.78%,14.8
47059,Tennessee,Greene,ARC,"Greene County, Tennessee",58501,30939,30925,29264,1661,14,27562,5.37%,47.11%,27777,1559,5.61%,1651,5.94%,3544,12.76%,2744,9.88%,3948,14.21%,5322,19.16%,3876,13.95%,3000,10.80%,1299,4.68%,834,3.00%,51975,12349,44.46%,1713,6.17%,748,2.69%,3012,10.84%,11.9
47061,Tennessee,Grundy,ARC,"Grundy County, Tennessee",11124,5751,5751,5389,362,0,5373,6.29%,48.30%,4965,260,5.24%,405,8.16%,608,12.25%,519,10.45%,853,17.18%,976,19.66%,411,8.28%,623,12.55%,244,4.91%,66,1.33%,47948,1999,40.26%,481,9.69%,191,3.85%,869,17.50%,14.5
47063,Tennessee,Hamblen,ARC,"Hamblen County, Tennessee",51238,28983,28934,27038,1896,49,22255,6.55%,43.43%,25209,1791,7.10%,1269,5.03%,2817,11.17%,3142,12.46%,3640,14.44%,4325,17.16%,2954,11.72%,3775,14.97%,746,2.96%,750,2.98%,49656,10302,40.87%,1817,7.21%,508,2.02%,3478,13.80%,13.3
47065,Tennessee,Hamilton,ARC,"Hamilton County, Tennessee",299839,191410,191232,182855,8377,178,108429,4.38%,36.16%,148888,6417,4.31%,6045,4.06%,11703,7.86%,12385,8.32%,17950,12.06%,25008,16.80%,19131,12.85%,25108,16.86%,11565,7.77%,13576,9.12%,69069,48651,32.68%,6395,4.30%,2426,1.63%,15217,10.22%,9.5
47067,Tennessee,Hancock,ARC,"Hancock County, Tennessee",5417,2427,2427,2183,244,0,2990,10.05%,55.20%,2829,320,11.31%,338,11.95%,456,16.12%,422,14.92%,345,12.20%,378,13.36%,289,10.22%,159,5.62%,28,0.99%,94,3.32%,31809,1435,50.72%,414,14.63%,227,8.02%,888,31.39%,28.4
47073,Tennessee,Hawkins,ARC,"Hawkins County, Tennessee",47568,24019,23986,21929,2057,33,23549,8.58%,49.51%,22785,1641,7.20%,1090,4.78%,2665,11.70%,2297,10.08%,2927,12.85%,4683,20.55%,2972,13.04%,2593,11.38%,1159,5.09%,758,3.33%,53647,10426,45.76%,1513,6.64%,384,1.69%,3396,14.90%,13.9
47087,Tennessee,Jackson,ARC,"Jackson County, Tennessee",9973,5167,5167,4796,371,0,4806,7.18%,48.19%,4569,421,9.21%,281,6.15%,698,15.28%,467,10.22%,697,15.25%,639,13.99%,538,11.78%,597,13.07%,116,2.54%,115,2.52%,42357,2123,46.47%,352,7.70%,128,2.80%,845,18.49%,15.3
47089,Tennessee,Jefferson,ARC,"Jefferson County, Tennessee",46020,26749,26730,25277,1453,19,19271,5.44%,41.88%,20813,504,2.42%,794,3.81%,2061,9.90%,2288,10.99%,3100,14.89%,3777,18.15%,2847,13.68%,3441,16.53%,941,4.52%,1060,5.09%,60393,8917,42.84%,1046,5.03%,318,1.53%,2475,11.89%,8.8
47091,Tennessee,Johnson,ARC,"Johnson County, Tennessee",15396,6738,6738,6444,294,0,8658,4.36%,56.24%,6873,440,6.40%,570,8.29%,916,13.33%,650,9.46%,1084,15.77%,1066,15.51%,973,14.16%,796,11.58%,233,3.39%,145,2.11%,47571,3211,46.72%,761,11.07%,304,4.42%,1211,17.62%,16.4
47093,Tennessee,Knox,ARC,"Knox County, Tennessee",393242,252383,251943,242346,9597,440,140859,3.81%,35.82%,194842,9938,5.10%,8154,4.18%,15031,7.71%,16499,8.47%,22844,11.72%,33121,17.00%,25343,13.01%,32838,16.85%,14101,7.24%,16973,8.71%,68580,57504,29.51%,7952,4.08%,4039,2.07%,18573,9.53%,8
47099,Tennessee,Lawrence,ARC,"Lawrence County, Tennessee",34372,19753,19741,18492,1249,12,14619,6.33%,42.53%,16484,1152,6.99%,953,5.78%,1955,11.86%,1811,10.99%,2187,13.27%,2954,17.92%,2179,13.22%,2055,12.47%,733,4.45%,505,3.06%,51038,6145,37.28%,1025,6.22%,368,2.23%,2557,15.51%,13.9
47101,Tennessee,Lewis,ARC,"Lewis County, Tennessee",10232,5533,5533,5243,290,0,4699,5.24%,45.92%,5073,400,7.88%,217,4.28%,626,12.34%,734,14.47%,725,14.29%,823,16.22%,463,9.13%,760,14.98%,206,4.06%,119,2.35%,44613,2307,45.48%,364,7.18%,99,1.95%,953,18.79%,16.7
47105,Tennessee,Loudon,ARC,"Loudon County, Tennessee",46005,25254,25178,24434,744,76,20751,2.95%,45.11%,22487,1015,4.51%,537,2.39%,1476,6.56%,2022,8.99%,3235,14.39%,2957,13.15%,3410,15.16%,4346,19.33%,1394,6.20%,2095,9.32%,75008,10261,45.63%,1126,5.01%,281,1.25%,1526,6.79%,10.5
47107,Tennessee,McMinn,ARC,"McMinn County, Tennessee",43819,24122,24074,22798,1276,48,19697,5.30%,44.95%,21230,1125,5.30%,1207,5.69%,1681,7.92%,1946,9.17%,3297,15.53%,4222,19.89%,2570,12.11%,3154,14.86%,1232,5.80%,796,3.75%,57982,9364,44.11%,1210,5.70%,341,1.61%,2958,13.93%,10.5
47111,Tennessee,Macon,ARC,"Macon County, Tennessee",19914,12278,12278,11837,441,0,7636,3.59%,38.34%,9164,511,5.58%,434,4.74%,1034,11.28%,881,9.61%,1652,18.03%,1592,17.37%,1192,13.01%,1129,12.32%,482,5.26%,257,2.80%,51215,3367,36.74%,656,7.16%,211,2.30%,1417,15.46%,13.5
47115,Tennessee,Marion,ARC,"Marion County, Tennessee",23698,12965,12965,12226,739,0,10733,5.70%,45.29%,11699,731,6.25%,720,6.15%,1103,9.43%,1071,9.15%,1491,12.74%,2333,19.94%,1650,14.10%,1376,11.76%,906,7.74%,318,2.72%,58139,4619,39.48%,976,8.34%,226,1.93%,1751,14.97%,12.4
47121,Tennessee,Meigs,ARC,"Meigs County, Tennessee",10544,5409,5409,5006,403,0,5135,7.45%,48.70%,5198,288,5.54%,309,5.94%,714,13.74%,255,4.91%,675,12.99%,1166,22.43%,860,16.54%,531,10.22%,278,5.35%,122,2.35%,59434,2252,43.32%,331,6.37%,75,1.44%,1022,19.66%,10.5
47123,Tennessee,Monroe,ARC,"Monroe County, Tennessee",38029,19584,19523,18236,1287,61,18445,6.59%,48.50%,18976,988,5.21%,1360,7.17%,2518,13.27%,1860,9.80%,2390,12.59%,3154,16.62%,3038,16.01%,2620,13.81%,648,3.41%,400,2.11%,52123,9191,48.43%,1439,7.58%,340,1.79%,3001,15.81%,12.3
47129,Tennessee,Morgan,ARC,"Morgan County, Tennessee",17542,8009,7981,7312,669,28,9533,8.38%,54.34%,7093,350,4.93%,462,6.51%,737,10.39%,786,11.08%,1109,15.64%,1186,16.72%,1008,14.21%,893,12.59%,347,4.89%,215,3.03%,51971,3160,44.55%,733,10.33%,200,2.82%,1276,17.99%,19.4
47133,Tennessee,Overton,ARC,"Overton County, Tennessee",18398,10569,10568,10201,367,1,7829,3.47%,42.55%,8820,660,7.48%,697,7.90%,920,10.43%,1094,12.40%,1192,13.51%,1360,15.42%,1156,13.11%,869,9.85%,405,4.59%,467,5.29%,46580,3675,41.67%,398,4.51%,87,0.99%,871,9.88%,13.7
47137,Tennessee,Pickett,ARC,"Pickett County, Tennessee",4201,1799,1795,1714,81,4,2402,4.51%,57.18%,2205,196,8.89%,311,14.10%,239,10.84%,166,7.53%,285,12.93%,498,22.59%,190,8.62%,201,9.12%,29,1.32%,90,4.08%,44317,1059,48.03%,177,8.03%,48,2.18%,484,21.95%,17.2
47139,Tennessee,Polk,ARC,"Polk County, Tennessee",14552,7949,7949,7328,621,0,6603,7.81%,45.38%,7101,470,6.62%,470,6.62%,668,9.41%,688,9.69%,1065,15.00%,1166,16.42%,880,12.39%,966,13.60%,337,4.75%,391,5.51%,53775,3285,46.26%,288,4.06%,50,0.70%,979,13.79%,7.7
47141,Tennessee,Putnam,ARC,"Putnam County, Tennessee",65684,40061,39868,38060,1808,193,25623,4.53%,39.01%,32733,2135,6.52%,1707,5.21%,3769,11.51%,2867,8.76%,4524,13.82%,6279,19.18%,3938,12.03%,4265,13.03%,1804,5.51%,1445,4.41%,54371,10861,33.18%,1517,4.63%,485,1.48%,2914,8.90%,11.7
47143,Tennessee,Rhea,ARC,"Rhea County, Tennessee",26860,14179,14179,13057,1122,0,12681,7.91%,47.21%,12744,680,5.34%,680,5.34%,1109,8.70%,1293,10.15%,1671,13.11%,2749,21.57%,1876,14.72%,1581,12.41%,681,5.34%,424,3.33%,55568,5493,43.10%,1122,8.80%,184,1.44%,2175,17.07%,12.2
47145,Tennessee,Roane,ARC,"Roane County, Tennessee",45191,24946,24887,23668,1219,59,20245,4.90%,44.80%,21956,926,4.22%,1219,5.55%,2273,10.35%,1566,7.13%,2901,13.21%,3409,15.53%,3016,13.74%,3810,17.35%,1402,6.39%,1434,6.53%,66460,9324,42.47%,1416,6.45%,551,2.51%,2869,13.07%,9
47151,Tennessee,Scott,ARC,"Scott County, Tennessee",17387,8774,8774,7930,844,0,8613,9.62%,49.54%,8614,607,7.05%,807,9.37%,1226,14.23%,1294,15.02%,1263,14.66%,1611,18.70%,788,9.15%,667,7.74%,215,2.50%,136,1.58%,39744,3841,44.59%,983,11.41%,1208,14.02%,2071,24.04%,22.4
47153,Tennessee,Sequatchie,ARC,"Sequatchie County, Tennessee",13212,6610,6610,6391,219,0,6602,3.31%,49.97%,5925,329,5.55%,388,6.55%,732,12.35%,644,10.87%,755,12.74%,1079,18.21%,805,13.59%,713,12.03%,287,4.84%,193,3.26%,53038,2467,41.64%,608,10.26%,223,3.76%,1025,17.30%,20.2
47155,Tennessee,Sevier,ARC,"Sevier County, Tennessee",80467,48743,48541,46821,1720,202,31724,3.54%,39.42%,38193,1698,4.45%,1458,3.82%,3783,9.90%,3443,9.01%,5568,14.58%,7292,19.09%,5249,13.74%,5647,14.79%,2054,5.38%,2001,5.24%,60103,15153,39.67%,2223,5.82%,1334,3.49%,3550,9.29%,11.2
47159,Tennessee,Smith,ARC,"Smith County, Tennessee",16117,9521,9521,9192,329,0,6596,3.46%,40.93%,7674,465,6.06%,340,4.43%,728,9.49%,577,7.52%,1078,14.05%,1587,20.68%,930,12.12%,1197,15.60%,395,5.15%,377,4.91%,57677,2864,37.32%,524,6.83%,185,2.41%,1082,14.10%,12.1
